22:14:34 INFO  TestBase - Method public void RegistrationsTests.registrationPositive()  is started
22:14:36 INFO  manager.WebDriverListener - Start searching element ----->>>> By.xpath: //*[.='Logged in success']
22:14:41 INFO  manager.WebDriverListener - Element with locator --->>> By.xpath: //*[.='Logged in success'] is found
22:14:41 INFO  manager.TestNgListener - Test registrationPositive started
22:14:41 INFO  manager.WebDriverListener - Start searching element ----->>>> By.xpath: //*[.=' Sign up ']
22:14:41 INFO  manager.WebDriverListener - Element with locator --->>> By.xpath: //*[.=' Sign up '] is found
22:14:41 INFO  TestBase - openRegistrationForm invoked
22:14:41 INFO  manager.WebDriverListener - Start searching element ----->>>> By.xpath: //*[@id="name"]
22:14:41 INFO  manager.WebDriverListener - Element with locator --->>> By.xpath: //*[@id="name"] is found
22:14:41 INFO  manager.WebDriverListener - Start searching element ----->>>> By.xpath: //*[@id="lastName"]
22:14:42 INFO  manager.WebDriverListener - Element with locator --->>> By.xpath: //*[@id="lastName"] is found
22:14:42 INFO  manager.WebDriverListener - Start searching element ----->>>> By.xpath: //*[@id="email"]
22:14:42 INFO  manager.WebDriverListener - Element with locator --->>> By.xpath: //*[@id="email"] is found
22:14:42 INFO  manager.WebDriverListener - Start searching element ----->>>> By.xpath: //*[@id="password"]
22:14:42 INFO  manager.WebDriverListener - Element with locator --->>> By.xpath: //*[@id="password"] is found
22:14:42 INFO  manager.WebDriverListener - Start searching element ----->>>> By.cssSelector: div.checkbox-container
22:14:42 INFO  manager.WebDriverListener - Element with locator --->>> By.cssSelector: div.checkbox-container is found
22:14:42 INFO  TestBase - fillRegistrationForm invoked
22:14:42 INFO  manager.WebDriverListener - Start searching element ----->>>> By.xpath: //button[@type='submit']
22:14:42 INFO  manager.WebDriverListener - Element with locator --->>> By.xpath: //button[@type='submit'] is found
22:14:42 INFO  TestBase - registrationPositive starts with credentials : login was - vasya881@gmail.com password was - Act123456$
22:14:42 INFO  manager.WebDriverListener - Start searching element ----->>>> By.xpath: //*[contains(text(),'success')]
22:14:43 INFO  manager.WebDriverListener - Element with locator --->>> By.xpath: //*[contains(text(),'success')] is found
22:14:43 INFO  manager.TestNgListener - Test registrationPositive successful
22:14:43 INFO  manager.WebDriverListener - Start searching element ----->>>> By.xpath: //button[@type='button']
22:14:43 INFO  manager.WebDriverListener - Element with locator --->>> By.xpath: //button[@type='button'] is found
22:14:43 INFO  TestBase - ================================
